State,funeral_for_stillborn,funeral_for_miscarriage
Nevada,100,0
Arkansas,53,0
Alabama,47,0
Utah,46,0
Louisiana,44,22
Oklahoma,44,0
Oregon,43,0
Wisconsin,42,0
Kentucky,40,0
New_Jersey,38,14
Connecticut,38,0
Kansas,37,24
Arizona,36,20
Colorado,35,0
Virginia,33,17
Nebraska,32,21
Missouri,30,19
California,30,16
Ohio,29,20
Pennsylvania,29,19
Texas,28,19
Georgia,28,15
Maryland,28,21
New_York,28,12
Iowa,27,23
North_Carolina,27,13
Florida,27,18
Indiana,26,23
Minnesota,26,20
Michigan,25,18
Illinois,24,20
Tennessee,21,22
Massachusetts,18,16
Washington,18,25
Alaska,0,0
New_Mexico,0,0
New_Hampshire,0,0
North_Dakota,0,0
Montana,0,0
Rhode_Island,0,0
South_Carolina,0,0
South_Dakota,0,0
Mississippi,0,0
Maine,0,0
Idaho,0,0
Hawaii,0,0
Vermont,0,0
Delaware,0,0
District_of_Columbia,0,0
West_Virginia,0,0
Wyoming,0,0